Accession,Protein Function,V-Score,Log10[Hit Number],Database Origin
COG1792,Involved in formation and maintenance of cell shape,0.03,0.477121255,eggNOG
COG1726,"NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol",0.03,0.477121255,eggNOG
COG1657,PFAM Prenyltransferase squalene oxidase,0.03,0.477121255,eggNOG
COG1615,UPF0182 protein,0.03,0.477121255,eggNOG
COG1587,Uroporphyrinogen-III synthase,0.03,0.477121255,eggNOG
COG1580,Controls the rotational direction of flagella during chemotaxis,0.03,0.477121255,eggNOG
COG1565,"acr, cog1565",0.03,0.477121255,eggNOG
COG1545,"DUF35 OB-fold domain, acyl-CoA-associated",0.03,0.477121255,eggNOG
COG1534,Rna-binding protein,0.03,0.477121255,eggNOG
COG1503,nitronate monooxygenase activity,0.03,0.477121255,eggNOG
COG1405,negative regulation of cell septum assembly,0.03,0.477121255,eggNOG
COG1341,"transferase activity, transferring glycosyl groups",0.03,0.477121255,eggNOG
COG1334,flagellar protein FlaG,0.03,0.477121255,eggNOG
COG1298,"Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin",0.03,0.477121255,eggNOG
COG1286,toxin biosynthetic process,0.03,0.477121255,eggNOG
COG1269,ATP hydrolysis coupled proton transport,0.03,0.477121255,eggNOG
COG1138,Cytochrome C-type biogenesis protein,0.03,0.477121255,eggNOG
COG1082,Xylose isomerase domain protein TIM barrel,0.03,0.477121255,eggNOG
COG0854,Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate,0.03,0.477121255,eggNOG
COG0832,Belongs to the urease beta subunit family,0.03,0.477121255,eggNOG
COG0804,urea catabolic process,0.03,0.477121255,eggNOG
COG0762,integral membrane protein,0.03,0.477121255,eggNOG
COG0743,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,0.03,0.477121255,eggNOG
COG0700,Nucleoside recognition,0.03,0.477121255,eggNOG
COG0680,"Initiates the rapid degradation of small, acid-soluble proteins during spore germination",0.03,0.477121255,eggNOG
COG0650,Formate hydrogenlyase subunit 4,0.03,0.477121255,eggNOG
COG0435,Glutathione S-transferase,0.03,0.477121255,eggNOG
COG0368,Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'-phosphate,0.03,0.477121255,eggNOG
COG0325,"Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis",0.03,0.477121255,eggNOG
COG0230,Belongs to the bacterial ribosomal protein bL34 family,0.03,0.477121255,eggNOG
COG0214,"Catalyzes the formation of pyridoxal 5'-phosphate from ribose 5-phosphate (RBP), glyceraldehyde 3-phosphate (G3P) and ammonia. The ammonia is provided by the PdxT subunit. Can also use ribulose 5-phosphate and dihydroxyacetone phosphate as substrates, resulting from enzyme-catalyzed isomerization of RBP and G3P, respectively",0.03,0.477121255,eggNOG
COG0132,"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring",0.03,0.477121255,eggNOG
COG0100,"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome",0.03,0.477121255,eggNOG
arCOG15226,zinc finger,0.03,0.477121255,eggNOG
arCOG15205,,0.03,0.477121255,eggNOG
arCOG15150,,0.03,0.477121255,eggNOG
arCOG15095,,0.03,0.477121255,eggNOG
arCOG15085,,0.03,0.477121255,eggNOG
arCOG15009,,0.03,0.477121255,eggNOG
arCOG14908,ribonuclease,0.03,0.477121255,eggNOG
arCOG14866,,0.03,0.477121255,eggNOG
arCOG14850,HpaII restriction endonuclease,0.03,0.477121255,eggNOG
arCOG14771,,0.03,0.477121255,eggNOG
arCOG14358,,0.03,0.477121255,eggNOG
arCOG13954,,0.03,0.477121255,eggNOG
arCOG13749,,0.03,0.477121255,eggNOG
arCOG13633,,0.03,0.477121255,eggNOG
arCOG13632,,0.03,0.477121255,eggNOG
arCOG13409,,0.03,0.477121255,eggNOG
arCOG13375,,0.03,0.477121255,eggNOG
arCOG13354,,0.03,0.477121255,eggNOG
arCOG13329,Domain of unknown function (DUF4188),0.03,0.477121255,eggNOG
arCOG13244,,0.03,0.477121255,eggNOG
arCOG13155,,0.03,0.477121255,eggNOG
arCOG13006,,0.03,0.477121255,eggNOG
arCOG12964,Tocopherol cyclase,0.03,0.477121255,eggNOG
arCOG12943,,0.03,0.477121255,eggNOG
arCOG12756,,0.03,0.477121255,eggNOG
arCOG12712,,0.03,0.477121255,eggNOG
arCOG12710,,0.03,0.477121255,eggNOG
arCOG12552,,0.03,0.477121255,eggNOG
arCOG12348,,0.03,0.477121255,eggNOG
arCOG12324,,0.03,0.477121255,eggNOG
arCOG12183,,0.03,0.477121255,eggNOG
arCOG11994,,0.03,0.477121255,eggNOG
arCOG11770,,0.03,0.477121255,eggNOG
arCOG11694,,0.03,0.477121255,eggNOG
arCOG11553,,0.03,0.477121255,eggNOG
arCOG11411,,0.03,0.477121255,eggNOG
arCOG11383,protein conserved in bacteria,0.03,0.477121255,eggNOG
arCOG11376,,0.03,0.477121255,eggNOG
arCOG11371,,0.03,0.477121255,eggNOG
arCOG11350,,0.03,0.477121255,eggNOG
arCOG11341,,0.03,0.477121255,eggNOG
arCOG11287,Na+-dependent bicarbonate transporter superfamily,0.03,0.477121255,eggNOG
arCOG11246,,0.03,0.477121255,eggNOG
arCOG11154,,0.03,0.477121255,eggNOG
arCOG10953,,0.03,0.477121255,eggNOG
arCOG10910,,0.03,0.477121255,eggNOG
arCOG10894,,0.03,0.477121255,eggNOG
arCOG10673,,0.03,0.477121255,eggNOG
arCOG10654,,0.03,0.477121255,eggNOG
arCOG10526,,0.03,0.477121255,eggNOG
arCOG10324,"unsaturated glucuronyl hydrolase involved in regulation of bacterial surface properties, and related proteins",0.03,0.477121255,eggNOG
arCOG10301,protein conserved in bacteria,0.03,0.477121255,eggNOG
arCOG10219,Phosphomannose isomerase type I,0.03,0.477121255,eggNOG
arCOG10033,,0.03,0.477121255,eggNOG
arCOG09907,,0.03,0.477121255,eggNOG
arCOG09882,Carbamoyltransferase N-terminus,0.03,0.477121255,eggNOG
arCOG09787,,0.03,0.477121255,eggNOG
arCOG09641,,0.03,0.477121255,eggNOG
arCOG09604,,0.03,0.477121255,eggNOG
arCOG09591,,0.03,0.477121255,eggNOG
arCOG09590,,0.03,0.477121255,eggNOG
arCOG09581,Protein of unknown function (DUF1700),0.03,0.477121255,eggNOG
arCOG09555,,0.03,0.477121255,eggNOG
arCOG09504,,0.03,0.477121255,eggNOG
arCOG09426,"ECF-type riboflavin transporter, S component",0.03,0.477121255,eggNOG
arCOG09387,,0.03,0.477121255,eggNOG
arCOG09285,nitrogen fixation,0.03,0.477121255,eggNOG
arCOG09106,acetoacetate decarboxylase,0.03,0.477121255,eggNOG
arCOG09068,,0.03,0.477121255,eggNOG
arCOG09058,PhoD-like phosphatase,0.03,0.477121255,eggNOG
arCOG08982,,0.03,0.477121255,eggNOG
arCOG08925,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,0.03,0.477121255,eggNOG
arCOG08818,,0.03,0.477121255,eggNOG
arCOG08728,,0.03,0.477121255,eggNOG
arCOG08661,Antibiotic biosynthesis monooxygenase,0.03,0.477121255,eggNOG
arCOG08628,protein conserved in bacteria,0.03,0.477121255,eggNOG
arCOG08625,Glucuronate isomerase,0.03,0.477121255,eggNOG
arCOG08539,,0.03,0.477121255,eggNOG
arCOG08397,Transposase ISC1217,0.03,0.477121255,eggNOG
arCOG08344,,0.03,0.477121255,eggNOG
arCOG08343,,0.03,0.477121255,eggNOG
arCOG08323,,0.03,0.477121255,eggNOG
arCOG08236,Protein of unknown function (DUF1697),0.03,0.477121255,eggNOG
arCOG08235,PFAM Secreted repeat of,0.03,0.477121255,eggNOG
arCOG08164,,0.03,0.477121255,eggNOG
arCOG08158,,0.03,0.477121255,eggNOG
arCOG08141,,0.03,0.477121255,eggNOG
arCOG08133,Belongs to the glycosyl hydrolase 68 family,0.03,0.477121255,eggNOG
arCOG08126,COG1502 Phosphatidylserine phosphatidylglycerophosphate cardiolipi n synthases and related enzymes,0.03,0.477121255,eggNOG
arCOG08120,transcriptional regulators,0.03,0.477121255,eggNOG
arCOG08119,phosphatase,0.03,0.477121255,eggNOG
arCOG08025,zinc-ribbon domain,0.03,0.477121255,eggNOG
arCOG08014,,0.03,0.477121255,eggNOG
arCOG07784,,0.03,0.477121255,eggNOG
arCOG07780,nitrogen compound transport,0.03,0.477121255,eggNOG
arCOG07690,,0.03,0.477121255,eggNOG
arCOG07564,,0.03,0.477121255,eggNOG
arCOG07514,,0.03,0.477121255,eggNOG
arCOG07495,,0.03,0.477121255,eggNOG
arCOG07389,COG1921 Selenocysteine synthase seryl-tRNASer selenium transferase,0.03,0.477121255,eggNOG
arCOG07320,Heterodisulfide reductase,0.03,0.477121255,eggNOG
arCOG07267,Belongs to the copper topaquinone oxidase family,0.03,0.477121255,eggNOG
arCOG07233,PaaX-like protein C-terminal domain,0.03,0.477121255,eggNOG
arCOG07149,,0.03,0.477121255,eggNOG
arCOG07121,,0.03,0.477121255,eggNOG
arCOG06987,,0.03,0.477121255,eggNOG
arCOG06960,Restriction endonuclease ThaI,0.03,0.477121255,eggNOG
arCOG06892,"PFAM Histidine kinase-, DNA gyrase B-, and HSP90-like",0.03,0.477121255,eggNOG
arCOG06807,Cytochrome c-type biogenesis protein CcmF C-terminal,0.03,0.477121255,eggNOG
arCOG06720,NAD(P)-binding Rossmann-like domain,0.03,0.477121255,eggNOG
arCOG06718,,0.03,0.477121255,eggNOG
arCOG06649,,0.03,0.477121255,eggNOG
arCOG06631,EamA-like transporter family,0.03,0.477121255,eggNOG
arCOG06614,,0.03,0.477121255,eggNOG
arCOG06548,RnfC Barrel sandwich hybrid domain,0.03,0.477121255,eggNOG
arCOG06529,Protein of unknown function (DUF3887),0.03,0.477121255,eggNOG
arCOG06422,Phosphate-starvation-inducible E,0.03,0.477121255,eggNOG
arCOG06386,Protein of unknown function (DUF2892),0.03,0.477121255,eggNOG
arCOG06383,,0.03,0.477121255,eggNOG
arCOG06371,,0.03,0.477121255,eggNOG
arCOG06198,,0.03,0.477121255,eggNOG
arCOG06185,,0.03,0.477121255,eggNOG
arCOG06150,cellulosome anchoring protein cohesin region,0.03,0.477121255,eggNOG
arCOG06128,UPF0182 protein,0.03,0.477121255,eggNOG
arCOG06045,Bacterial protein of unknown function (DUF871),0.03,0.477121255,eggNOG
arCOG06023,Belongs to the NiCoT transporter (TC 2.A.52) family,0.03,0.477121255,eggNOG
arCOG06013,transposition,0.03,0.477121255,eggNOG
arCOG05839,metallopeptidase activity,0.03,0.477121255,eggNOG
arCOG05729,Iron-sulfur cluster-binding domain,0.03,0.477121255,eggNOG
arCOG05679,,0.03,0.477121255,eggNOG
arCOG05661,,0.03,0.477121255,eggNOG
arCOG05583,actin actin family protein,0.03,0.477121255,eggNOG
arCOG05535,,0.03,0.477121255,eggNOG
arCOG05512,hydroxymethylglutaryl-CoA reductase (NADPH) activity,0.03,0.477121255,eggNOG
arCOG05367,Hemerythrin HHE cation binding domain,0.03,0.477121255,eggNOG
arCOG05356,Putative esterase,0.03,0.477121255,eggNOG
arCOG05316,Acyl CoA acetate 3-ketoacid CoA transferase beta subunit,0.03,0.477121255,eggNOG
arCOG05308,,0.03,0.477121255,eggNOG
arCOG05305,,0.03,0.477121255,eggNOG
arCOG05228,haloacid dehalogenase-like hydrolase,0.03,0.477121255,eggNOG
arCOG05130,,0.03,0.477121255,eggNOG
arCOG05093,Winged helix-turn-helix domain (DUF2582),0.03,0.477121255,eggNOG
arCOG05019,tRNA 2-selenouridine synthase activity,0.03,0.477121255,eggNOG
arCOG05014,Part of a complex that catalyzes the reversible reduction of CoM-S-S-CoB to the thiol-coenzymes H-S-CoM (coenzyme M) and H-S-CoB (coenzyme B). HdrE may be responsible for anchoring the complex to the membrane,0.03,0.477121255,eggNOG
arCOG04972,Sporulation protein YtfJ (Spore_YtfJ),0.03,0.477121255,eggNOG
arCOG04967,"Uncharacterized ACR, COG1993",0.03,0.477121255,eggNOG
arCOG04881,PFAM PHP domain protein,0.03,0.477121255,eggNOG
arCOG04822,Protein of unknown function (DUF483),0.03,0.477121255,eggNOG
arCOG04766,Fe-S protein,0.03,0.477121255,eggNOG
arCOG04699,phosphorelay sensor kinase activity,0.03,0.477121255,eggNOG
arCOG04692,Hydrolase,0.03,0.477121255,eggNOG
arCOG04663,,0.03,0.477121255,eggNOG
arCOG04566,hyaluronan metabolic process,0.03,0.477121255,eggNOG
arCOG04561,Dodecin,0.03,0.477121255,eggNOG
arCOG04527,Belongs to the urease beta subunit family,0.03,0.477121255,eggNOG
arCOG04471,membrane,0.03,0.477121255,eggNOG
arCOG04456,Protein of unknown function (DUF1284),0.03,0.477121255,eggNOG
arCOG04444,PFAM amino acid-binding ACT domain protein,0.03,0.477121255,eggNOG
arCOG04337,Protein of unknown function (DUF498/DUF598),0.03,0.477121255,eggNOG
arCOG04267,,0.03,0.477121255,eggNOG
arCOG04260,Belongs to the HMG-CoA reductase family,0.03,0.477121255,eggNOG
arCOG04229,Involved in allosteric regulation of aspartate carbamoyltransferase,0.03,0.477121255,eggNOG
arCOG04123,protein conserved in archaea (DUF2153),0.03,0.477121255,eggNOG
arCOG04116,ATPase (PilT family),0.03,0.477121255,eggNOG
arCOG04108,Ribosomal protein S27e,0.03,0.477121255,eggNOG
arCOG04106,"Catalyzes the formation of CDP-2,3-bis-(O- geranylgeranyl)-sn-glycerol (CDP-archaeol) from 2,3-bis-(O- geranylgeranyl)-sn-glycerol 1-phosphate (DGGGP) and CTP. This reaction is the third ether-bond-formation step in the biosynthesis of archaeal membrane lipids",0.03,0.477121255,eggNOG
arCOG04103,,0.03,0.477121255,eggNOG
arCOG04058,Belongs to the UPF0235 family,0.03,0.477121255,eggNOG
arCOG04055,"Activates the tRNA-splicing ligase complex by facilitating the enzymatic turnover of catalytic subunit RtcB. Acts by promoting the guanylylation of RtcB, a key intermediate step in tRNA ligation. Can also alter the NTP specificity of RtcB such that ATP, dGTP or ITP is used efficiently",0.03,0.477121255,eggNOG
arCOG03967,,0.03,0.477121255,eggNOG
arCOG03941,,0.03,0.477121255,eggNOG
arCOG03934,,0.03,0.477121255,eggNOG
arCOG03906,metallopeptidase activity,0.03,0.477121255,eggNOG
arCOG03749,Vitamin K epoxide reductase,0.03,0.477121255,eggNOG
arCOG03745,,0.03,0.477121255,eggNOG
arCOG03737,,0.03,0.477121255,eggNOG
arCOG03733,,0.03,0.477121255,eggNOG
arCOG03681,,0.03,0.477121255,eggNOG
arCOG03661,"PFAM Glycoside hydrolase, family 38",0.03,0.477121255,eggNOG
arCOG03638,Protein of unknown function (DUF1538),0.03,0.477121255,eggNOG
arCOG03637,Protein of unknown function (DUF1538),0.03,0.477121255,eggNOG
arCOG03407,SMART AAA ATPase,0.03,0.477121255,eggNOG
arCOG03397,,0.03,0.477121255,eggNOG
arCOG03340,PFAM Alpha-acetolactate decarboxylase,0.03,0.477121255,eggNOG
arCOG03325,Uroporphyrinogen decarboxylase (URO-D),0.03,0.477121255,eggNOG
arCOG03216,Putative heavy-metal chelation,0.03,0.477121255,eggNOG
arCOG03183,helix_turn_helix multiple antibiotic resistance protein,0.03,0.477121255,eggNOG
arCOG03103,Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group,0.03,0.477121255,eggNOG
arCOG02911,toxin activity,0.03,0.477121255,eggNOG
arCOG02898,Polyketide cyclase / dehydrase and lipid transport,0.03,0.477121255,eggNOG
arCOG02888,Succinylglutamate desuccinylase,0.03,0.477121255,eggNOG
arCOG02877,4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process,0.03,0.477121255,eggNOG
arCOG02836,transcriptional regulators containing the CopG Arc MetJ DNA-binding domain and a metal-binding domain,0.03,0.477121255,eggNOG
arCOG02802,,0.03,0.477121255,eggNOG
arCOG02775,transcriptional,0.03,0.477121255,eggNOG
arCOG02773,nucleotidyltransferase activity,0.03,0.477121255,eggNOG
arCOG02749,Transcriptional regulators,0.03,0.477121255,eggNOG
arCOG02715,F420-0:Gamma-glutamyl ligase,0.03,0.477121255,eggNOG
arCOG02657,"TIGRFAM CRISPR-associated RAMP protein, Cmr4 family",0.03,0.477121255,eggNOG
arCOG02583,metal cluster binding,0.03,0.477121255,eggNOG
arCOG02474,Hydrogenase (NiFe) small subunit HydA,0.03,0.477121255,eggNOG
arCOG02472,PFAM NADH ubiquinone oxidoreductase 20 kDa subunit,0.03,0.477121255,eggNOG
arCOG02429,"TIGRFAM carbon-monoxide dehydrogenase, catalytic subunit",0.03,0.477121255,eggNOG
arCOG02406,cytochrome c biogenesis protein,0.03,0.477121255,eggNOG
arCOG02381,"Chemotaxis protein CheC, inhibitor of MCP methylation",0.03,0.477121255,eggNOG
arCOG02248,Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import,0.03,0.477121255,eggNOG
arCOG02245,membrane,0.03,0.477121255,eggNOG
arCOG02210,PFAM polysaccharide biosynthesis protein,0.03,0.477121255,eggNOG
arCOG02143,PFAM 4-hydroxyphenylacetate 3-hydroxylase,0.03,0.477121255,eggNOG
arCOG02079,COG1361 S-layer domain,0.03,0.477121255,eggNOG
arCOG01996,Stage II sporulation protein M,0.03,0.477121255,eggNOG
arCOG01987,"Acyl CoA acetate 3-ketoacid CoA transferase, alpha subunit",0.03,0.477121255,eggNOG
arCOG01985,4Fe-4S dicluster domain,0.03,0.477121255,eggNOG
arCOG01942,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate,0.03,0.477121255,eggNOG
arCOG01913,"NfeD-like C-terminal, partner-binding",0.03,0.477121255,eggNOG
arCOG01885,Belongs to the eukaryotic ribosomal protein eS17 family,0.03,0.477121255,eggNOG
arCOG01868,transcriptional regulators,0.03,0.477121255,eggNOG
arCOG01730,"PFAM Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B",0.03,0.477121255,eggNOG
arCOG01719,Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). The GatDE system is specific for glutamate and does not act on aspartate,0.03,0.477121255,eggNOG
arCOG01688,"PFAM 4-vinyl reductase, 4VR",0.03,0.477121255,eggNOG
arCOG01612,Catalyzes the ferredoxin-dependent oxidative decarboxylation of arylpyruvates,0.03,0.477121255,eggNOG
arCOG01571,Mechanosensitive ion channel,0.03,0.477121255,eggNOG
arCOG01553,PFAM NADH ubiquinone oxidoreductase 20 kDa subunit,0.03,0.477121255,eggNOG
arCOG01546,NADH ubiquinone oxidoreductase subunit 1 (Chain H),0.03,0.477121255,eggNOG
arCOG01535,"Bacterial extracellular solute-binding proteins, family 5 Middle",0.03,0.477121255,eggNOG
arCOG01472,PAS domain,0.03,0.477121255,eggNOG
arCOG01437,Pfam:DUF2276,0.03,0.477121255,eggNOG
arCOG01395,protein conserved in archaea,0.03,0.477121255,eggNOG
arCOG01302,Belongs to the UPF0248 family,0.03,0.477121255,eggNOG
arCOG01286,nucleic-acid-binding protein containing a Zn-ribbon,0.03,0.477121255,eggNOG
arCOG01284,"DUF35 OB-fold domain, acyl-CoA-associated",0.03,0.477121255,eggNOG
arCOG01236,"Heme copper-type cytochrome quinol oxidases, subunit 2",0.03,0.477121255,eggNOG
arCOG01220,,0.03,0.477121255,eggNOG
arCOG01176,regulation of circadian rhythm,0.03,0.477121255,eggNOG
arCOG01123,Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P),0.03,0.477121255,eggNOG
arCOG01119,pfam gyd,0.03,0.477121255,eggNOG
arCOG00921,transcriptional,0.03,0.477121255,eggNOG
arCOG00775,MaoC domain-containing protein dehydratase,0.03,0.477121255,eggNOG
arCOG00764,"formylmethanofuran dehydrogenase, subunit E",0.03,0.477121255,eggNOG
arCOG00741,FaeA-like protein,0.03,0.477121255,eggNOG
arCOG00722,Uncharacterised protein family (UPF0175),0.03,0.477121255,eggNOG
arCOG00698,Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family,0.03,0.477121255,eggNOG
arCOG00643,Synthesizes selenophosphate from selenide and ATP,0.03,0.477121255,eggNOG
arCOG00637,PFAM AIR synthase related protein,0.03,0.477121255,eggNOG
arCOG00568,membrane,0.03,0.477121255,eggNOG
arCOG00413,Catalyzes the attachment of pyrrolysine to tRNA(Pyl). Pyrrolysine is a lysine derivative encoded by the termination codon UAG,0.03,0.477121255,eggNOG
arCOG00386,membrane-associated protein domain,0.03,0.477121255,eggNOG
arCOG00374,membrane-associated protein domain,0.03,0.477121255,eggNOG
arCOG00345,FAD binding domain,0.03,0.477121255,eggNOG
arCOG00321,PFAM peptidase U62 modulator of DNA gyrase,0.03,0.477121255,eggNOG
arCOG00270,COG1138 Cytochrome c biogenesis factor,0.03,0.477121255,eggNOG
arCOG00256,prephenate dehydrogenase (NADP+) activity,0.03,0.477121255,eggNOG
arCOG00120,S-adenosyl-L-methionine-dependent methyltransferase,0.03,0.477121255,eggNOG
arCOG00036,ATPases of PP-loop superfamily,0.03,0.477121255,eggNOG
arCOG00008,transcriptional,0.03,0.477121255,eggNOG
4QHQZ,,0.03,0.477121255,eggNOG
4QHQS,,0.03,0.477121255,eggNOG
4QHPG,,0.03,0.477121255,eggNOG
4QHNK,,0.03,0.477121255,eggNOG
4QHM5,,0.03,0.477121255,eggNOG
4QHKW,,0.03,0.477121255,eggNOG
4QHK7,,0.03,0.477121255,eggNOG
4QHJZ,,0.03,0.477121255,eggNOG
4QHJW,,0.03,0.477121255,eggNOG
4QHJI,,0.03,0.477121255,eggNOG
4QHJD,,0.03,0.477121255,eggNOG
4QHIP,,0.03,0.477121255,eggNOG
4QHIN,,0.03,0.477121255,eggNOG
4QHHY,viral outer capsid,1,0.477121255,eggNOG
4QHHH,,0.03,0.477121255,eggNOG
4QHH1,,0.03,0.477121255,eggNOG
4QHF2,,0.03,0.477121255,eggNOG
4QHEY,,0.03,0.477121255,eggNOG
4QHEU,,0.03,0.477121255,eggNOG
4QHEI,,0.03,0.477121255,eggNOG
4QHDJ,,0.03,0.477121255,eggNOG
4QHC5,,0.03,0.477121255,eggNOG
4QHB3,,0.03,0.477121255,eggNOG
4QHAJ,viral outer capsid,1,0.477121255,eggNOG
4QHAF,,0.03,0.477121255,eggNOG
4QH97,,0.03,0.477121255,eggNOG
4QH8S,,0.03,0.477121255,eggNOG
4QH78,,0.03,0.477121255,eggNOG
4QH6N,,0.03,0.477121255,eggNOG
4QH5C,,0.03,0.477121255,eggNOG
4QH51,,0.03,0.477121255,eggNOG
4QH4H,Mid-1-related chloride channel (MCLC),0.03,0.477121255,eggNOG
4QH4D,,0.03,0.477121255,eggNOG
4QH45,,0.03,0.477121255,eggNOG
4QH3P,,0.03,0.477121255,eggNOG
4QH2T,,0.03,0.477121255,eggNOG
4QH2J,,0.03,0.477121255,eggNOG
4QH2C,SARS coronavirus X4 like,1,0.477121255,eggNOG
4QH09,,0.03,0.477121255,eggNOG
4QGYX,,0.03,0.477121255,eggNOG
4QGYS,,0.03,0.477121255,eggNOG
4QGXS,,0.03,0.477121255,eggNOG
4QGXC,Nucleocapsid protein N,0.03,0.477121255,eggNOG
4QGW3,,0.03,0.477121255,eggNOG
4QGW1,"Zinc finger, C3HC4 type (RING finger)",0.03,0.477121255,eggNOG
4QGVZ,,0.03,0.477121255,eggNOG
4QGVQ,,0.03,0.477121255,eggNOG
4QGVK,,0.03,0.477121255,eggNOG
4QGV7,,0.03,0.477121255,eggNOG
4QGU0,,0.03,0.477121255,eggNOG
4QGS3,,0.03,0.477121255,eggNOG
4QGRI,,0.03,0.477121255,eggNOG
4QGQA,,0.03,0.477121255,eggNOG
4QGPB,,0.03,0.477121255,eggNOG
4QGNX,,0.03,0.477121255,eggNOG
4QGN6,,0.03,0.477121255,eggNOG
4QGMQ,,0.03,0.477121255,eggNOG
4QGMI,Coronavirus 6B/7B protein,1,0.477121255,eggNOG
4QGJS,Human adenovirus early E3A glycoprotein,1,0.477121255,eggNOG
4QGJM,,0.03,0.477121255,eggNOG
4QGIH,,0.03,0.477121255,eggNOG
4QGIA,,0.03,0.477121255,eggNOG
4QGI9,,0.03,0.477121255,eggNOG
4QGI5,,0.03,0.477121255,eggNOG
4QGG6,,0.03,0.477121255,eggNOG
4QGFS,,0.03,0.477121255,eggNOG
4QGFP,,0.03,0.477121255,eggNOG
4QGFD,,0.03,0.477121255,eggNOG
4QGEA,,0.03,0.477121255,eggNOG
4QGE7,,0.03,0.477121255,eggNOG
4QGCA,,0.03,0.477121255,eggNOG
4QGBP,,0.03,0.477121255,eggNOG
4QGBA,,0.03,0.477121255,eggNOG
4QG9I,,0.03,0.477121255,eggNOG
4QG7S,,0.03,0.477121255,eggNOG
4QG72,,0.03,0.477121255,eggNOG
4QG53,Pneumovirus NS1 protein,1,0.477121255,eggNOG
4QG4A,,0.03,0.477121255,eggNOG
4QG47,,0.03,0.477121255,eggNOG
4QG2B,chemokine activity,0.03,0.477121255,eggNOG
4QG1W,,0.03,0.477121255,eggNOG
4QG1V,,0.03,0.477121255,eggNOG
4QG1H,,0.03,0.477121255,eggNOG
4QG12,,0.03,0.477121255,eggNOG
4QG09,,0.03,0.477121255,eggNOG
4QFY4,,0.03,0.477121255,eggNOG
4QFXZ,,0.03,0.477121255,eggNOG
4QFXH,,0.03,0.477121255,eggNOG
4QFWU,,0.03,0.477121255,eggNOG
4QFW0,,0.03,0.477121255,eggNOG
4QFUW,,0.03,0.477121255,eggNOG
4QFUT,,0.03,0.477121255,eggNOG
4QFTN,Papillomavirus E5A protein,1,0.477121255,eggNOG
4QFTB,,0.03,0.477121255,eggNOG
4QFT4,,0.03,0.477121255,eggNOG
4QFSJ,Basic region leucine zipper,0.03,0.477121255,eggNOG
4QFSE,,0.03,0.477121255,eggNOG
4QFRF,,0.03,0.477121255,eggNOG
4QFQC,,0.03,0.477121255,eggNOG
4QFQ4,,0.03,0.477121255,eggNOG
4QFQ3,,0.03,0.477121255,eggNOG
4QFP2,,0.03,0.477121255,eggNOG
4QFN0,,0.03,0.477121255,eggNOG
4QFME,,0.03,0.477121255,eggNOG
4QFKI,,0.03,0.477121255,eggNOG
4QFKF,Glycoprotein of human cytomegalovirus HHV-5,1,0.477121255,eggNOG
4QFK1,,0.03,0.477121255,eggNOG
4QFK0,,0.03,0.477121255,eggNOG
4QFJZ,,0.03,0.477121255,eggNOG
4QFJK,,0.03,0.477121255,eggNOG
4QFHY,,0.03,0.477121255,eggNOG
4QFGV,,0.03,0.477121255,eggNOG
4QFGN,,0.03,0.477121255,eggNOG
4QFGH,,0.03,0.477121255,eggNOG
4QFFT,,0.03,0.477121255,eggNOG
4QFF6,,0.03,0.477121255,eggNOG
4QFDR,,0.03,0.477121255,eggNOG
