#ncbi_accession	source_identifier	label	sequence_cutoff	domain_cutoff	hmm_length	family_type	for_structural_annotation	for_naming	for_AMRFinder	product_name	gene_symbol	gene_synonyms	ec_numbers	go_terms	pmids	taxonomic_range	taxonomic_range_name	taxonomic_rank_name	n_refseq_protein_hits	source	name_orig	hmm_name	comment
TIGR04329.1	TIGR04329	cas1_PREFRAN	300	300	317	exception	Y	Y	N	type V CRISPR-associated endonuclease Cas1	cas1			GO:0004520,GO:0043571,GO:0046872		131567	cellular organisms	cellular root	199	JCVI	CRISPR-associated endonuclease Cas1, subtype PREFRAN	type V CRISPR-associated endonuclease Cas1	Members of this family are the Cas1 endonuclease of a novel CRISPR subtype, PREFRAN, found in Prevotella bryantii B14, Prevotella disiens FB035-09AN, Francisella tularensis subsp. novicida, Francisella philomiragia, Butyrivibrio proteoclasticus B316, Helcococcus kunzii ATCC 51366, etc.
TIGR04330.1	TIGR04330	cas_Cpf1	300	300	1288	equivalog	Y	Y	N	type V CRISPR-associated protein Cas12a/Cpf1	cas12a					131567	cellular organisms	cellular root	386	JCVI	CRISPR-associated protein Cpf1, subtype PREFRAN	type V CRISPR-associated protein Cas12a/Cpf1	This family is the long protein of a novel CRISPR subtype, PREFRAN, which is most common in Prevotella and Francisella, although widely distributed. The PREFRAN type has Cas1, Cas2, and Cas4, but lacks the helicase Cas3 and endonuclease Cas3-HD.
TIGR04331.1	TIGR04331	o_ant_LIC12162	225	225	585	subfamily	Y	Y	N	LIC12162 family transferase						131567	cellular organisms	cellular root	477	JCVI	putative transferase, LIC12162 family	LIC12162 family transferase	This protein family shows C-terminal sequence similarity to various surface carbohydrate biosynthesis enzymes: spore coat polysaccharide biosynthesis protein SpsB, UDP-N-acetyl-D-glucosamine 2-epimerase, lipid A disaccharide synthetase LpxB, etc. It may occur in O-antigen biosythesis regions.
TIGR04335.1	TIGR04335	AmmeMemoSam_A	99	99	175	hypoth_equivalog	Y	Y	N	AmmeMemoRadiSam system protein A	amrA				17715145	131567	cellular organisms	cellular root	7724	JCVI	AmmeMemoRadiSam system protein A	AmmeMemoRadiSam system protein A	Members of this protein family belong to the same domain family as AMMECR1, a mammalian protein named for AMME - Alport syndrome, Mental Retardation, Midface hypoplasia, and Elliptocytosis. Members of the present family occur as part of a three gene system with a homolog of the mammalian protein Memo (Mediator of ErbB2-driven cell MOtility), and an uncharacterized radical SAM enzyme.
TIGR04336.1	TIGR04336	AmmeMemoSam_B	26	26	270	hypoth_equivalog	Y	Y	N	AmmeMemoRadiSam system protein B	amrB				18045866	131567	cellular organisms	cellular root	7945	JCVI	AmmeMemoRadiSam system protein B	AmmeMemoRadiSam system protein B	Members of this protein family belong to the same domain family as the mammalian protein Memo (Mediator of ErbB2-driven cell MOtility). Members of the present family occur as part of a three gene system with an uncharacterized radical SAM enzyme and a homolog of the mammalian protein AMMECR1, a mammalian protein named for AMME - Alport syndrome, Mental Retardation, Midface hypoplasia, and Elliptocytosis. Memo in humans has protein-protein interaction activity with binding of phosphorylated Try, but members of this family may be active as enzymes, as suggested by homology to a class of nonheme iron dioxygenases.
TIGR04337.1	TIGR04337	AmmeMemoSam_rS	220	220	349	hypoth_equivalog	Y	Y	N	AmmeMemoRadiSam system radical SAM enzyme	amrS			GO:0051536		131567	cellular organisms	cellular root	8171	JCVI	AmmeMemoRadiSam system radical SAM enzyme	AmmeMemoRadiSam system radical SAM enzyme	Members of this protein family are uncharacterized radical SAM enzymes that occur in a prokaryotic three-gene system along with homologs of mammalian proteins Memo (Mediator of ErbB2-driven cell MOtility) and AMMERCR1 (Alport syndrome, Mental Retardation, Midface hypoplasia, and Elliptocytosis). Among radical SAM enzymes that have been experimentally characterized, the most closely related in sequence include activases of pyruvate formate-lyase and of benzylsuccinate synthase.
TIGR04340.1	TIGR04340	rSAM_ACGX	400	400	341	hypoth_equivalog	Y	Y	N	radical SAM/SPASM domain protein, ACGX system	acgM					131567	cellular organisms	cellular root	422	JCVI	radical SAM/SPASM domain protein, ACGX system	radical SAM/SPASM domain protein, ACGX system	Members of this protein family are radical SAM/SPASM domain proteins likely to be involved in the modification of small, Cys-rich peptides. Members of the family of proposed target sequences, TIGR04341, average 75 amino acids in length and average six instances of the motif ACGX, where X is A, S, or T.
TIGR04350.1	TIGR04350	C_S_lyase_PatB	340	340	384	subfamily	Y	Y	N	PatB family C-S lyase				GO:0003824,GO:0009058,GO:0030170	10880431,15760717,21247153,32719469	131567	cellular organisms	cellular root	52393	JCVI	putative C-S lyase	PatB family C-S lyase	Characterized members of this subfamily are known or probable C-S lyases from a family of pyridoxal phosphate-dependent enzymes that tend to be (mis)annotated as probable aminotransferases. One member is PatB of Bacillus subtilis, a proven C-S-lyase. Another is the virulence factor cystalysin from Treponema denticola, whose hemolysin activity may stem from H2S production. Members of the seed alignment occur next to examples of the enzyme 5-histidylcysteine sulfoxide synthase, from ovothiol A biosynthesis, and would be expected to perform a C-S cleavage of 5-histidylcysteine sulfoxide to leave 1-methyl-4-mercaptohistidine (ovothiol A). The PatB from Staphylococcus hominis (ShPatB) is a C-S lyase active on aliphatic cysteine-S-conjugates; its release of the thioalcohol 3-methyl-3-sulfanylhexan-1-ol (3M3SH) from the odourless precursor Cys-Gly-3M3SH secreted from human skin is a major contributor to body odor.
TIGR04353.1	TIGR04353	PqqD_rel_X	35	35	74	equivalog	Y	Y	N	HPr-rel-A system PqqD family peptide chaperone						131567	cellular organisms	cellular root	1837	JCVI	PqqD family protein, HPr-rel-A system	HPr-rel-A system PqqD family peptide chaperone	Members of this protein show distant homology to PqqD, and belong to a three-gene cassette that included the HPr kinase related protein family of TIGR04352. The role of the cassette, and of this protein, are unknown.
TIGR04354.1	TIGR04354	amphi-Trp	31	31	67	subfamily	Y	Y	N	amphi-Trp domain-containing protein						131567	cellular organisms	cellular root	6582	JCVI	amphi-Trp domain	amphi-Trp domain	This domain usually comprises most of the span of bacterial or archaeal proteins with a length of about 90 amino acids. Some members, however, are extended by one or two copies of domain PF07411 in the C-terminal region. No residue in this domain is invariant. A striking feature of this domain is a C-terminal region that alternates strongly charged with strongly hydrophobic residues and usually ends with a Trp residue, e.g. LEIEIEW or FEIKVRW, suggesting an amphipathic beta strand structure. We suggest the name amphi-Trp for this domain. Some members of this function occur regularly in genomic contexts that include putative kinases of unknown specificity related to (but distinct from) HPr kinase, a Ser-specific protein kinase. The function is unknown.
TIGR04362.1	TIGR04362	choice_anch_C	120	120	157	subfamily_domain	Y	Y	N	choice-of-anchor C family protein						131567	cellular organisms	cellular root	1078	JCVI	choice-of-anchor C domain	choice-of-anchor C domain	This family describes an extracellular bacterial domain that occurs on a number of proteins with PEP-CTERM (exosortase recognition site) sequences at the C-terminus, as well some with an apparent alternate anchor sequence. Note that related Pfam model PF04862 (DUF642) belongs to a Pfam clan called the galactose-binding domain-like superfamily.
TIGR04370.1	TIGR04370	glyco_rpt_poly	40	40	396	subfamily	Y	Y	N	oligosaccharide repeat unit polymerase				GO:0000271,GO:0016757		131567	cellular organisms	cellular root	11230	JCVI	oligosaccharide repeat unit polymerase	oligosaccharide repeat unit polymerase	Members of this subfamily of highly hydrophobic proteins, with few highly conserved residues, all may act to polymerize the oligosaccharide repeat units of surface polysaccharides, including O-antigen in Gram-negative bacteria such as Leptospira (assign gene symbol wzy) and capsular polysaccharide in Gram-positive bacteria such as Streptococcus. O-antigen biosynthesis enzymes produce a repeat unit, usually an oligosaccharide, which itself is polymerized. O-antigen polymerase, usually designated Wzy. This family bears homology to the O-antigen ligase WaaL, but known examples of WaaL fall outside the bounds defined here. This model is much broader than Pfam model PF14296.
TIGR04371.1	TIGR04371	methyltran_NanM	44	42	273	subfamily	Y	Y	N	putative sugar O-methyltransferase			2.1.1.-	GO:0008171,GO:0016051	12770825	131567	cellular organisms	cellular root	1291	JCVI	putative sugar O-methyltransferase	putative sugar O-methyltransferase	Members of this family appear to be SAM-dependent O-methyltransferases acting on sugars, based on iterated sequence searches and gene context. Members occur in Leptospira O-antigen regions, as well NanM from the biosynthesis cluster for nanchangmycin, which produces 4-O-methyl-L-rhodinose as an intermediate.
TIGR04378.1	TIGR04378	myo_inos_iolB	205	205	247	equivalog	Y	Y	N	5-deoxy-glucuronate isomerase	iolB		5.3.1.30	GO:0016861,GO:0019310	18310071,19011032	131567	cellular organisms	cellular root	27412	JCVI	5-deoxy-glucuronate isomerase	5-deoxy-glucuronate isomerase	Members of this protein family, 5-deoxy-glucuronate isomerase (iolB), represent one of eight enzymes in a pathway converting myo-inositol to acetyl-CoA.
TIGR04380.1	TIGR04380	myo_inos_iolG	355	355	330	equivalog	Y	Y	N	inositol 2-dehydrogenase	iolG		1.1.1.18	GO:0019310,GO:0050112		131567	cellular organisms	cellular root	15330	JCVI	inositol 2-dehydrogenase	inositol 2-dehydrogenase	All members of the seed alignment for this model are known or predicted inositol 2-dehydrogenase sequences co-clustered with other enzymes for catabolism of myo-inositol or closely related compounds. Inositol 2-dehydrogenase catalyzes the first step in inositol catabolism. Members of this family may vary somewhat in their ranges of acceptable substrates and some may act on analogs to myo-inositol rather than myo-inositol per se.
TIGR04382.1	TIGR04382	myo_inos_iolC_N	300	300	309	equivalog_domain	Y	Y	N	5-dehydro-2-deoxygluconokinase	iolC		2.7.1.92	GO:0019310,GO:0047590		131567	cellular organisms	cellular root	32687	JCVI	5-dehydro-2-deoxygluconokinase	5-dehydro-2-deoxygluconokinase	All members of the seed alignment for this model are translated from the iolC gene of known or putative inositol catabolism operons. Members with characterized function are 5-dehydro-2-deoxygluconokinase, the enzyme catalyzing the fifth step in degradation from myo-inositol or closely related compounds. Note that many members of this family are fusion proteins with an additional C-terminal domain, of unknown function, described by Pfam model PF09863.
TIGR04387.1	TIGR04387	capsid_maj_N4	60	50	324	equivalog	Y	Y	N	N4-gp56 family major capsid protein				GO:0019028	18374942	131567	cellular organisms	cellular root	4514	JCVI	major capsid protein, N4-gp56 family	N4-gp56 family major capsid protein	Members of this family are phage major capsid proteins as found in phage N4 (a double-stranded DNA virus) plus many additional lytic phage and integrated prophage regions.
TIGR04391.1	TIGR04391	CcmD_alt_fam	24	24	36	subfamily	Y	Y	N	CcmD family protein				GO:0005886	18326572	131567	cellular organisms	cellular root	1203	JCVI	CcmD family protein	CcmD family protein	Members of this protein family are small (typically less than 50 amino acids in length), with the first half highly hydrophobic like transmembrane alpha helices and containing a nearly invariant tyrosine residue. Members from the Desulfovibrionales appear in the position of ccmD of system I c-type cytochrome biogenesis operons (see PF04995). This family and PF04995 appear very similar in sequence properties, but the very low level of actual sequence identify makes it unclear that the similarity reflects homology per se.
TIGR04396.2	TIGR04396	surf_polysacc	125	125	427	subfamily	Y	Y	N	surface carbohydrate biosynthesis protein				GO:0000271,GO:0003824		131567	cellular organisms	cellular root	1060	JCVI	surface carbohydrate biosynthesis protein	surface carbohydrate biosynthesis protein	This model describes an uncharacterized homology region found broadly in proteins of surface carbohydrate biosynthesis regions. This family shows distant homology to a variety of carbohydrate-active enzymes such as UDP-N-acetylglucosamine 2-epimerase and teichoic acid glycerol-phosphate transferase.
TIGR04416.1	TIGR04416	group_II_RT_mat	300	300	353	equivalog	Y	Y	N	group II intron reverse transcriptase/maturase	ltrA		2.7.7.49	GO:0000373,GO:0003964		131567	cellular organisms	cellular root	48964	JCVI	group II intron reverse transcriptase/maturase	group II intron reverse transcriptase/maturase	Members of this protein family are multifunctional proteins encoded in most examples of bacterial group II introns. These group II introns are mobile selfish genetic elements, often with multiple highly identical copies per genome. Member proteins have an N-terminal reverse transcriptase (RNA-directed DNA polymerase) domain (PF00078) followed by an RNA-binding maturase domain (PF08388). Some members of this family may have an additional C-terminal DNA endonuclease domain that this model does not cover. A region of the group II intron ribozyme structure should be detectable nearby on the genome by Rfam model RF00029.
TIGR04417.1	TIGR04417	PFTS_polysacc	100	100	522	subfamily	Y	Y	N	polysaccharide biosynthesis PFTS motif protein						131567	cellular organisms	cellular root	81	JCVI	polysaccharide biosynthesis PFTS motif protein	polysaccharide biosynthesis PFTS motif protein	Members of this protein family are found in O-antigen biosynthesis loci in Leptospira, two tandem homologs in a polysaccharide biosynthesis region in the archaeon Methanoregula formicicum, in Rhizobium leguminosarum bv. trifolii WSM2297, etc. Members are more strongly conserved in the C-terminal region, where an invariant sequence PFTS is found.
TIGR04425.1	TIGR04425	P_lya_rel_AroB	400	400	348	hypoth_equivalog	Y	Y	N	AroB-related putative sugar phosphate phospholyase (cyclizing)				GO:0016838,GO:0046364		131567	cellular organisms	cellular root	188	JCVI	putative sugar phosphate phospholyase (cyclizing)	AroB-related putative sugar phosphate phospholyase (cyclizing)	Members of this family tend to be found in O-antigen biosynthesis regions. Members frequently are misidentified as the closely related 3-dehydroquinate synthase, AroB (see family TIGR01357), the phospholyase that converts 3-deoxy-D-arabino-hept-2-ulosonate 7-phosphate to 3-dehydroquinate during chorismate biosynthesis. Most bacteria with this enzyme have a true AroB in a chorismate biosynthesis gene cluster.
TIGR04440.1	TIGR04440	glyco_TIGR04440	70	70	215	domain	Y	Y	N	TIGR00180 family glycosyltransferase						131567	cellular organisms	cellular root	2151	JCVI	glycosyltransferase domain	TIGR00180 family glycosyltransferase	This model describes a putative glycotransferase domain, related to the group 2 family glycosyltransferases of PF00535.
TIGR04448.1	TIGR04448	creatininase	235	235	246	equivalog	Y	Y	N	creatininase			3.5.2.10	GO:0006601,GO:0046449,GO:0047789	9563845	131567	cellular organisms	cellular root	2309	JCVI	creatininase	creatininase	Members of this family are creatininase (EC 3.5.2.10), an amidohydrolase that interconverts creatinine + H(2)O with creatine. It should not be confused with creatinase (EC 3.5.3.3), which hydrolyzes creatine to sarcosine plus urea.
TIGR04449.1	TIGR04449	halocin_C8_dom	24	24	69	subfamily_domain	Y	Y	N	halocin C8-like domain-containing protein					18658263	131567	cellular organisms	cellular root	319	JCVI	halocin C8-like bacteriocin domain	bacteriocin halocin C8-like domain	This HMM describes the 76-amino C-terminal domain of the halocin C8 precursor that actually becomes the mature bacteriocin halocin C8 after export and cleavage, as well as homologous C-terminal regions from many other archaea. Surprisingly, this Cys-rich region occurs also in many strains of Staphylococcus epidermidis. Gene regions do not provide evidence for post-translational modification other than cleavage. Halocin C8 is active against a broad range of archaea; the region N-terminal to the bacteriocin domain modeled here serves as the immunity protein for the cell secreting the bacteriocin.
TIGR04463.1	TIGR04463	rSAM_vs_C_rich	525	525	438	equivalog	Y	Y	N	TIGR04463 family radical SAM/SPASM RiPP maturase						131567	cellular organisms	cellular root	24	JCVI	radical SAM/SPASM domain protein maturase	TIGR04463 family radical SAM/SPASM RiPP maturase	Members of this family are probable protein/peptide-modifying radical SAM/SPASM domain proteins. The majority of members of this family seem to target Cys-rich repetitive regions of large proteins rather than of bacteriocin-sized small precursors. This arrangement suggests the modification target may be multifunctional, with the C-terminal domain behaving like a bacteriocin but other parts of the same precursor serving an immunity function, as occurs for the halocin C8 precursor.
TIGR04470.1	TIGR04470	rSAM_mob_pairB	410	410	285	equivalog	Y	Y	N	radical SAM mobile pair protein B						131567	cellular organisms	cellular root	1324	JCVI	radical SAM mobile pair protein B	radical SAM mobile pair protein B	Members of this family are the downstream member (B) of a pair of tandem-encoded radical SAM enzymes. Most of these radical SAM gene pairs have an additional upstream regulatory gene in the MarR family. Examples of high sequence identity (over 96 percent) from cassettes in several Treponema species of the oral cavity to those in multiple Firmicutes in the gut microbiome suggest recent lateral gene transfer, as might be expected for antibiotic resistance genes. The function is unknown.
TIGR04471.1	TIGR04471	rSAM_mob_pairA	355	355	220	equivalog	Y	Y	N	radical SAM mobile pair protein A						131567	cellular organisms	cellular root	892	JCVI	radical SAM mobile pair protein A	radical SAM mobile pair protein A	Members of this family are the upstream member (A) of a pair of tandem-encoded radical SAM enzymes. Most of these radical SAM gene pairs have an additional upstream regulatory gene in the MarR family. Examples of high sequence identity (over 96 percent) from cassettes in several Treponema species of the oral cavity to those in multiple Firmicutes in the gut microbiome suggest recent lateral gene transfer, as might be expected for antibiotic resistance genes. The function is unknown.
TIGR04474.1	TIGR04474	tcm_partner	53	53	263	subfamily	Y	Y	N	three-Cys-motif partner protein TcmP	tcmP					131567	cellular organisms	cellular root	7128	JCVI	three-Cys-motif partner protein	three-Cys-motif partner protein TcmP	Members of this family occur regularly as a partner to as a member of family PF07505, which has been called a phage protein but which seems to occur also in other contexts. Members average about 400 residues in length, but the conserved region covered by the model averages 260 residues and excludes the C-terminus. Conserved motifs suggest enzymatic activity. Note that its frequent partner protein (see PF07505) has a three-cysteine motif that resembles the Cx3CxxC motif of radical SAM proteins, and that in one branch (see TIGR04471) actually becomes Cx3CxxC. We suggest the name three-Cys-motif partner protein (tcmP), and renaming PF07505 to three-Cys-motif family protein
TIGR04498.1	TIGR04498	AbiV_defense	27	26	143	subfamily	Y	Y	N	AbiV family abortive infection protein					20851990	131567	cellular organisms	cellular root	2315	JCVI	abortive infection protein, AbiV family	AbiV family abortive infection protein	This family includes AbiV (abortive infection system V) from Lactococcus lactis, a phage resistance protein that causes certain phage infections to fail to lead to successful phage replication. Abortive infection mechanisms differ greatly. AbiV interacts directly with the protein SaV in phage p2 and blocks translation of phage proteins.
TIGR04499.1	TIGR04499	abortive_AbiA	250	250	615	subfamily	Y	Y	N	AbiA family abortive infection protein					12450864	131567	cellular organisms	cellular root	256	JCVI	abortive infection protein, AbiA family	AbiA family abortive infection protein	Members of this protein family average about 650 amino acids in length, with an N-terminal region related to reverse transcriptases. The only characterized member is AbiA, with reported activity as an abortive infection protein for phage defense in Lactococcus lactis and (heterologously) in Streptococcus thermophilus.
TIGR04520.1	TIGR04520	ECF_ATPase_1	315	315	269	equivalog	Y	Y	N	energy-coupling factor transporter ATPase				GO:0005524,GO:0006810,GO:0009898,GO:0042626	18931129	131567	cellular organisms	cellular root	14769	JCVI	energy-coupling factor transporter ATPase	energy-coupling factor transporter ATPase	Members of this family are ATP-binding cassette (ABC) proteins by homology, but belong to energy coupling factor (ECF) transport systems. The architecture in general is two ATPase subunits (or a double-length fusion protein), a T component, and a substrate capture (S) component that is highly variable, and may be interchangeable in genomes with only one T component. This model identifies many but not examples of the upstream member of the pair of ECF ATPases in Firmicutes and Mollicutes.
TIGR04534.2	TIGR04534	ELWxxDGT_rpt	65	65	47	domain	Y	Y	N	ELWxxDGT repeat protein						131567	cellular organisms	cellular root	2957	JCVI	ELWxxDGT repeat	ELWxxDGT repeat	This model describes protein repeat with a well-conserved motif ELWxxDGT, and a periodicity of about 48. A single protein may have as many as 18 repeats. It may consist nearly entirely of this repeat, or may have other repeats as well (e.g. hyalin repeat). It is most common in the Deltaproteobacteria.
TIGR04545.1	TIGR04545	rSAM_ahbD_hemeb	500	500	339	equivalog	Y	Y	N	heme b synthase	ahbD		1.3.98.6	GO:0006785,GO:0051539,GO:1904047	24713144	131567	cellular organisms	cellular root	543	JCVI	heme b synthase	AdoMet-dependent heme b synthase	Members of this family are AhbD (alternative heme biosynthetic protein D), a radical SAM enzyme in sulfate-reducing bacteria and methanogens that performs the last decarboxylations to synthesize heme b from Fe-coproporphyrin III. Members include DVU_0855, previously included in error in TIGR04055, the NirJ2 family thought to be involved in heme d1 biosynthesis.
TIGR04546.1	TIGR04546	rSAM_ahbC_deAc	650	650	390	equivalog	Y	Y	N	12,18-didecarboxysiroheme deacetylase	ahbC			GO:0006785,GO:1904047		131567	cellular organisms	cellular root	515	JCVI	12,18-didecarboxysiroheme deacetylase	12,18-didecarboxysiroheme deacetylase	This model describes one of a pair of radical SAM enzymes involved in the alternative heme biosynthesis (ahb) pathway for heme b biosynthesis from siroheme. This anaerobic pathway occurs in sulfate-reducing bacteria and methanogens. A very similar pair of radical SAM enzymes (TIGR04054, TIGR04055) is involved in heme d1 biosynthesis in species such as Heliobacillus mobilis and Heliophilum fasciatum.
NF018940.6	PF07289.17	BBL5	23.8	23.8	334	domain	Y	Y	N	Bardet-Biedl syndrome 5 protein				GO:0034464	15137946,17574030,21344540	1325932	Anoxybacillus andreesenii	species	1	EBI-EMBL	Bardet-Biedl syndrome 5 protein	Bardet-Biedl syndrome 5 protein	BBS5 is part of the BBSome complex that may function as a coat complex required for sorting of specific membrane proteins to the primary cilia (PMID: 17574030). Mutations in the BBS5 gene cause Bardet-Biedl syndrome 5 [2, 3]. (from Pfam)
NF040705.1		sigma_mbnA	350	350	272	exception	Y	Y	N	methanobactin precursor domain-containing sigma factor					23442874,23682956	133	Methylocystis	genus	25	NCBIFAM		methanobactin precursor domain-containing sigma factor	This variant form of sigma factor is found exclusively with a C-terminal methanobactin precursor domain.
NF040478.1		blaLAQ	850	850	380	exception	Y	Y	Y	LAQ family class C beta-lactamase	blaLAQ		3.5.2.6	GO:0008800		1330545	Lelliottia	genus	27	NCBIFAM		LAQ family class C beta-lactamase	
NF005259.0	PRK06762	PRK06762.3-4	349	349	170	equivalog	Y	N	N	hypothetical protein						1334	Streptococcus dysgalactiae	species	17	NCBI Protein Cluster (PRK)	hypothetical protein	hypothetical protein	
NF024378.6	PF12976.13	DUF3860	27	27	93	domain	Y	Y	N	DUF3860 domain-containing protein						133814	Candidatus Poseidoniales	order	9	EBI-EMBL	Domain of Unknown Function with PDB structure (DUF3860)	Domain of Unknown Function with PDB structure (DUF3860)	A protein family created to cover PDB:2OD5. 2OD5 is a hypothetical protein (JCVI_PEP_1096688149193) from an environmental metagenome (unidentified marine microbe). (from Pfam)
NF047868.1		TrhA_N_extend	200	200	269	domain	Y	Y	N	TrhA extension/companion domain-containing protein					35285724,37345585,38054739	134623	Opitutaceae	family	11	NCBIFAM		TrhA extension/companion domain	TrhA (transmembrane homeostasis protein A), a plasma membrane protein that belongs to the PAQR family, named for eukaryotic Progestin and AdipoQ Receptors, and that appears involved in the homeostasis of membrane fluidity. This rather rare domain appears as an occasional N-terminal extension to TrhA, or as a free-standing protein. Member sequences show some resemblance to fatty acid hydroxylase-like proteins as described by Pfam model PF04116.
NF045872.1		urea_MBA	305	305	147	equivalog	Y	Y	N	multiple banded antigen	mba				19220471,22253806,28451522	134821	Ureaplasma parvum	species	15	NCBIFAM		multiple banded antigen, N-terminal domain	This HMM describes the N-terminal domain of the Ureaplasma surface-exposed lipoprotein known as MBA (multiple banded antigen, UU375). It distinguishes MBA from at least 5 paralogs that share a homologous N-terminal region, described by model NF045871.
NF000036.1		D_ala_D_ser_VanE	700	700	352	exception	Y	Y	Y	D-alanine--D-serine ligase VanE	vanE		6.3.2.35			1350	Enterococcus	genus	3	NCBIFAM	D-alanine--D-serine ligase VanE	D-alanine--D-serine ligase VanE	
NF000093.1		D_ala_D_ser_VanN	700	700	343	exception	Y	Y	Y	D-alanine--D-serine ligase VanN	vanN		6.3.2.35			1350	Enterococcus	genus	6	NCBIFAM	D-alanine--D-serine ligase VanN	D-alanine--D-serine ligase VanN	
NF000165.3		AAC_6p_Entco	300	300	178	exception	Y	Y	Y	aminoglycoside N-acetyltransferase AAC(6')-Ii	aac(6')			GO:0008080		1350	Enterococcus	genus	165	NCBIFAM	AAC(6')-Ii family aminoglycoside 6'-N-acetyltransferase	aminoglycoside 6'-N-acetyltransferase	
NF000371.1		vanH_Agroup	700	700	322	exception	Y	Y	Y	VanH-A/VanH-Pt family D-lactate dehydrogenase	vanH		1.1.1.28			1350	Enterococcus	genus	19	NCBIFAM	D-lactate dehydrogenase, VanH-A/VanH-Pt group	VanH-A/VanH-Pt family D-lactate dehydrogenase	
NF000402.1		vanR-B	480	480	219	exception	Y	Y	Y	vancomycin resistance response regulator transcription factor VanR-B	vanR-B					1350	Enterococcus	genus	21	NCBIFAM	VanB-type vancomycin resistance DNA-binding response regulator VanR	vancomycin resistance response regulator transcription factor VanR-B	Members of this family are the response regulator VanR of VanB-type vancomycin resistance systems.
NF000403.1		vanR-C	480	480	231	exception	Y	Y	Y	vancomycin resistance response regulator transcription factor VanR-C	vanR-C					1350	Enterococcus	genus	58	NCBIFAM	VanC-type vancomycin resistance DNA-binding response regulator VanR	vancomycin resistance response regulator transcription factor VanR-C	Members of this family are the response regulator VanR of VanC-type vancomycin resistance systems.
NF000473.1		vanY_BG	400	400	274	exception	Y	Y	Y	VanY-B/VanY-G family D-Ala-D-Ala carboxypeptidase	vanY			GO:0006508		1350	Enterococcus	genus	15	NCBIFAM	VanY-B/VanY-G family D-Ala-D-Ala carboxypeptidase	VanY-B/VanY-G family D-Ala-D-Ala carboxypeptidase	
NF000478.2		linco_LnuE	350	350	160	exception	Y	Y	Y	lincosamide nucleotidyltransferase Lnu(E)	lnu(E)					1350	Enterococcus	genus	1	NCBIFAM	lincosamide nucleotidyltransferase Lnu(E)	lincosamide nucleotidyltransferase Lnu(E)	
NF003637.0	PRK05270	PRK05270.3-2	860	860	404	equivalog	Y	Y	N	UDP-glucose--hexose-1-phosphate uridylyltransferase			2.7.7.12			1350	Enterococcus	genus	211	NCBI Protein Cluster (PRK)	galactose-1-phosphate uridylyltransferase	UDP-glucose--hexose-1-phosphate uridylyltransferase	
NF006361.0	PRK08581	PRK08581.1-3	839	839	652	equivalog	Y	Y	N	amidase domain-containing protein						1350	Enterococcus	genus	282	NCBI Protein Cluster (PRK)	N-acetylmuramoyl-L-alanine amidase	amidase domain-containing protein	
NF012213.0		VanC1_ser_lig	775	775	343	exception	Y	Y	Y	D-alanine--D-serine ligase VanC1	vanC1					1350	Enterococcus	genus	28	NCBIFAM	D-alanine--D-serine ligase VanC1	D-alanine--D-serine ligase VanC1	This model describes VanC1, one of two recognized subfamilies of the VanC type D-alanine--D-serine ligase involved in vancomycin resistance. The other type is VanC2/3.
NF012214.1		D_ala_D_ser_VanC	650	650	350	exception	Y	Y	Y	D-alanine--D-serine ligase VanC	vanC		6.3.2.35			1350	Enterococcus	genus	125	NCBIFAM	D-alanine--D-serine ligase VanC	D-alanine--D-serine ligase VanC	
NF012217.1		D_ala_D_lac_VanA	775	775	343	exception	Y	Y	Y	D-alanine--(R)-lactate ligase VanA	vanA		6.1.2.1	GO:0005737,GO:0008716,GO:0046872		1350	Enterococcus	genus	18	NCBIFAM	D-alanine--(R)-lactate ligase VanA	D-alanine--(R)-lactate ligase VanA	
NF021166.6	PF09627.16	PrgU	25	25	106	subfamily	Y	Y	N	PrgU family protein					17302827,27785854	1350	Enterococcus	genus	285	EBI-EMBL	PrgU-like protein	PrgU family protein	PrgU is a protein of plasmid in origin expressed mainly in Enterococcus bacteria. It forms a six beta-strand barrel with three accompanying alpha helices and is probably a homo-dimer in the cell (PMID: 17302827). PrgU probably acts as a RNA-binding regulator that mitigates toxicity accompanying overproduction of PrgB-like adhesins, which are involved in conjugative transfer (PMID: 27785854). (from Pfam)
NF021682.6	PF10179.15	NDNF	27.3	27.3	127	domain	Y	Y	N	fibronectin domain-containing protein					20969804,24706764	1350	Enterococcus	genus	57	EBI-EMBL	Neuron-derived neurotrophic factor, first Fn(III) domain	Neuron-derived neurotrophic factor, first Fn(III) domain	This domain is found towards the N-terminal of Neuron-derived neurotrophic factor (NDNF) which contains the first fibronectin type III domain and one of the predicted N-linked glycosylation sites [1,2]. NDNF is a glycosylated and disulfide-bonded secreted protein expressed in brain and spinal cord that promotes migration and neurite growth. It also promotes endothelial cell survival, vessel formation and plays an important role in the process of revascularization. (from Pfam)
NF022911.6	PF11472.13	DUF3206	23.7	23.7	128	PfamAutoEq	Y	Y	N	DUF3206 domain-containing protein						1350	Enterococcus	genus	104	EBI-EMBL	Protein of unknown function (DUF3206)	Protein of unknown function (DUF3206)	This bacterial family of proteins has no known function. (from Pfam)
NF027393.6	PF16067.10	DUF4809	27	27	130	subfamily	Y	Y	N	DUF4809 family protein						1350	Enterococcus	genus	674	EBI-EMBL	Domain of unknown function (DUF4809)	DUF4809 family protein	This family of proteins is found in bacteria. Proteins in this family are typically between 120 and 137 amino acids in length. There is a conserved GGCNAC sequence motif. (from Pfam)
