Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_40__MGr3G3H3I_000000139685_19	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_2	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_20	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_21	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_22	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_23	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_24	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_25	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_26	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_27	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_28	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_29	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_3	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_30	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_31	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_32	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Large polyvalent protein-associated domain 1					PF18796.7	Large polyvalent protein-associated domain 1									PF18796.7	Large polyvalent protein-associated domain 1	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_33	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Family of unknown function (DUF5983) C-terminal domain					PF19419.6	Family of unknown function (DUF5983) C-terminal domain									PF19419.6	Family of unknown function (DUF5983) C-terminal domain	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_34	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_35	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_36	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_37	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	""													phrog_8538	""	phrog_8538	""	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_38	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_39	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_4	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_40	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_41	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_42	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_43	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	""					PF02086.22	D12 class N6 adenine-specific DNA methyltransferase							phrog_23217	""	phrog_23217	""	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_44	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_45	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_46	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_47	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_48	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_49	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_5	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_50	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Nuclease-related domain					PF08378.18	Nuclease-related domain									PF08378.18	Nuclease-related domain	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_51	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_52	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_53	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Type III restriction enzyme, res subunit					PF04851.22	Type III restriction enzyme, res subunit									PF04851.22	Type III restriction enzyme, res subunit	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_54	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	transposase	K07496	K07496; putative transposase											phrog_506	transposase	phrog_506	transposase	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_55	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_56	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_57	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Holliday junction branch migration helicase			HMMsoil104395	ENTPD2; adenosinetriphosphatase [EC:3.6.1.-]	PF00270.36	DEAD/DEAH box helicase							phrog_6819	Holliday junction branch migration helicase	phrog_6819	Holliday junction branch migration helicase	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_58	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_59	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_6	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_60	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	Sigma-70 region 2					PF04542.21	Sigma-70 region 2									PF04542.21	Sigma-70 region 2	Pfam
vRhyme_unbinned_40__MGr3G3H3I_000000139685_61	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	HMMsoil6395	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	PF02768.21	DNA polymerase III beta subunit, C-terminal domain							phrog_947	DNA polymerase processivity factor	K02338	dnaN; DNA polymerase III subunit beta [EC:2.7.7.7]	KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_62	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	dUTPase	K01520	dut, DUT; dUTP diphosphatase [EC:3.6.1.23]	HMMsoil16663	dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]	PF00692.25	dUTPase							phrog_135	dUTPase	phrog_135	dUTPase	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_63	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	HMMsoil129049	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	PF02867.21	Ribonucleotide reductase, barrel domain							phrog_84	ribonucleoside-diphosphate reductase large subunit	K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_64	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_65	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_7	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_8	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high	radical SAM domain protein													phrog_9298	radical SAM domain protein	phrog_9298	radical SAM domain protein	PHROG
vRhyme_unbinned_40__MGr3G3H3I_000000139685_9	vRhyme_unbinned_40__MGr3G3H3I_000000139685	vRhyme_unbinned_40__MGr3G3H3I_000000139685	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_1	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_10	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_11	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_12	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_13	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_14	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_16	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	DNA primase					PF23639.2	Domain of unknown function (DUF7146)							phrog_510	DNA primase	phrog_510	DNA primase	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_17	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	""					PF08774.18	VRR-NUC domain							phrog_824	""	phrog_824	""	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_18	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	Transcriptional Coactivator p15 (PC4)					PF02229.23	Transcriptional Coactivator p15 (PC4)									PF02229.23	Transcriptional Coactivator p15 (PC4)	Pfam
vRhyme_unbinned_41__MGr3G3H3I_000000142568_19	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_2	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_23	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_24	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	integrase					PF00589.28	Phage integrase family							phrog_1	integrase	phrog_1	integrase	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_3	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	anti-restriction protein					PF18818.8	Zincin-like metallopeptidase							phrog_7245	anti-restriction protein	phrog_7245	anti-restriction protein	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_4	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_5	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_6	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_7	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high																		KEGG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_8	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	terminase large subunit					PF17289.9	Terminase RNaseH-like domain							phrog_979	terminase large subunit	phrog_979	terminase large subunit	PHROG
vRhyme_unbinned_41__MGr3G3H3I_000000142568_9	vRhyme_unbinned_41__MGr3G3H3I_000000142568	vRhyme_unbinned_41__MGr3G3H3I_000000142568	unclassified	high	Terminase large subunit, T4likevirus-type, N-terminal					PF03237.22	Terminase large subunit, T4likevirus-type, N-terminal									PF03237.22	Terminase large subunit, T4likevirus-type, N-terminal	Pfam
vRhyme_unbinned_42__MGr3G3H3I_000000144901_1	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high																		KEGG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_10	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high																		KEGG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_2	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high	terminase large subunit					PF17289.9	Terminase RNaseH-like domain							phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_3	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high																		KEGG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_4	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high	""					PF20613.5	HipA-like kinase							phrog_3162	""	phrog_3162	""	PHROG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_5	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high	23S rRNA-intervening sequence protein					PF05635.18	23S rRNA-intervening sequence protein									PF05635.18	23S rRNA-intervening sequence protein	Pfam
vRhyme_unbinned_42__MGr3G3H3I_000000144901_6	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high	Protein of unknown function (DUF3037)					PF11236.14	Protein of unknown function (DUF3037)									PF11236.14	Protein of unknown function (DUF3037)	Pfam
vRhyme_unbinned_42__MGr3G3H3I_000000144901_7	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high	Phage portal protein					PF04860.18	Phage portal protein							phrog_2662	portal protein	PF04860.18	Phage portal protein	Pfam
vRhyme_unbinned_42__MGr3G3H3I_000000144901_8	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high																		KEGG
vRhyme_unbinned_42__MGr3G3H3I_000000144901_9	vRhyme_unbinned_42__MGr3G3H3I_000000144901	vRhyme_unbinned_42__MGr3G3H3I_000000144901	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_1	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_10	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high	terminase large subunit													phrog_38	terminase large subunit	phrog_38	terminase large subunit	PHROG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_11	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_2	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_3	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_5	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_6	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_7	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_8	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high	glycosyltransferase													phrog_1962	glycosyltransferase	phrog_1962	glycosyltransferase	PHROG
vRhyme_unbinned_44__MGr3G3H3I_000000146975_9	vRhyme_unbinned_44__MGr3G3H3I_000000146975	vRhyme_unbinned_44__MGr3G3H3I_000000146975	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_1	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_10	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	""													phrog_6737	""	phrog_6737	""	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_11	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	endonuclease VII					PF01844.30	HNH endonuclease							phrog_1035	endonuclease VII	phrog_1035	endonuclease VII	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_12	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	""													phrog_6671	""	phrog_6671	""	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_13	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	""													phrog_6268	""	phrog_6268	""	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_14	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	""													phrog_6216	""	phrog_6216	""	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_15	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_17	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	HMMsoil21710	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	PF00293.35	NUDIX domain							phrog_1198	MutT/NUDIX hydrolase	K03574	mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]	KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_18	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	head protein													phrog_15127	head protein	phrog_15127	head protein	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_19	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_2	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_20	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	portal protein					PF06381.17	Phage portal protein							phrog_146	portal protein	phrog_146	portal protein	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_21	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	""													phrog_15526	""	phrog_15526	""	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_22	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_23	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_24	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	terminase large subunit					PF03237.22	Terminase large subunit, T4likevirus-type, N-terminal							phrog_38	terminase large subunit	phrog_38	terminase large subunit	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_25	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high	terminase small subunit													phrog_309	terminase small subunit	phrog_309	terminase small subunit	PHROG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_3	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
vRhyme_unbinned_46__MGr3G3H3I_000000153998_4	vRhyme_unbinned_46__MGr3G3H3I_000000153998	vRhyme_unbinned_46__MGr3G3H3I_000000153998	unclassified	high																		KEGG
