Protein	Contig	Genome	Protein Classification	Protein Viral Origin Confidence	Protein in Strict Viral Region	Function	KEGG KO	KEGG KO Name	FOAM ID	FOAM Annotation	Pfam Accession	Pfam Name	CAZy Family	CAZy Activities	METABOLIC db ID	METABOLIC Annotation	CAMPER ID	CAMPER Annotation	PHROG Number	PHROG Annotation	Best Scoring HMM	Best Scoring HMM Annotation	Best Scoring HMM Origin
vRhyme_unbinned_75__MGr3G3H3I_000000218818_9	vRhyme_unbinned_75__MGr3G3H3I_000000218818	vRhyme_unbinned_75__MGr3G3H3I_000000218818	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_1	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_10	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_11	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_12	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_13	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_14	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_15	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_16	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_17	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_18	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_19	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_2	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_20	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_21	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_22	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_23	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_24	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_25	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_26	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_27	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_28	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_29	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_3	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_30	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_31	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_32	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_4	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_5	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_6	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_7	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_8	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_76__MGr3G3H3I_000000223668_9	vRhyme_unbinned_76__MGr3G3H3I_000000223668	vRhyme_unbinned_76__MGr3G3H3I_000000223668	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_10	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_11	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_12	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_13	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_14	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_15	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false	""													phrog_19005	""	phrog_19005	""	PHROG
vRhyme_unbinned_77__MGr3G3H3I_000000224979_16	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_17	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_18	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_19	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_2	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false	polA; DNA polymerase I [EC:2.7.7.7]			HMMsoil2841	polA; DNA polymerase I [EC:2.7.7.7]	PF00476.27	DNA polymerase family A									HMMsoil2841	polA; DNA polymerase I [EC:2.7.7.7]	FOAM
vRhyme_unbinned_77__MGr3G3H3I_000000224979_20	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_21	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_22	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_23	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_24	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_25	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_26	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_27	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_28	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_29	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_3	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false	DNA primase													phrog_14296	DNA primase	phrog_14296	DNA primase	PHROG
vRhyme_unbinned_77__MGr3G3H3I_000000224979_4	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_5	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_6	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	K01945	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	HMMsoil120965	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]											HMMsoil120965	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]	FOAM
vRhyme_unbinned_77__MGr3G3H3I_000000224979_7	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_8	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_77__MGr3G3H3I_000000224979_9	vRhyme_unbinned_77__MGr3G3H3I_000000224979	vRhyme_unbinned_77__MGr3G3H3I_000000224979	unclassified	high	false																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_1	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	false																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_10	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_11	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_13	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_14	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_15	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_16	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_17	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_18	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_19	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_3	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_4	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_5	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_6	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_7	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_8	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_78__MGr3G3H3I_000000231783_9	vRhyme_unbinned_78__MGr3G3H3I_000000231783	vRhyme_unbinned_78__MGr3G3H3I_000000231783	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_1	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	false																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_10	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_11	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_12	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_13	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_14	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_15	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	false																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_16	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	false																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_2	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_3	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_4	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_5	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_6	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true																		
vRhyme_unbinned_79__MGr3G3H3I_000000232172_7	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true	head maturation protease													phrog_595	head maturation protease	phrog_595	head maturation protease	PHROG
vRhyme_unbinned_79__MGr3G3H3I_000000232172_8	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true	portal protein													phrog_10963	portal protein	phrog_10963	portal protein	PHROG
vRhyme_unbinned_79__MGr3G3H3I_000000232172_9	vRhyme_unbinned_79__MGr3G3H3I_000000232172	vRhyme_unbinned_79__MGr3G3H3I_000000232172	unclassified	high	true	terminase large subunit	K06909	xtmB; phage terminase large subunit											phrog_2	terminase large subunit	phrog_2	terminase large subunit	PHROG
vRhyme_unbinned_7__MGr3G3H3I_000000013374_7	vRhyme_unbinned_7__MGr3G3H3I_000000013374	vRhyme_unbinned_7__MGr3G3H3I_000000013374	unclassified	high	true	Phage portal protein					PF04860.18	Phage portal protein							phrog_2662	portal protein	PF04860	Phage portal protein	Pfam
vRhyme_unbinned_80__MGr3G3H3I_000000240298_1	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_10	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true	Putative phage metallopeptidase					PF18894.7	Putative phage metallopeptidase									PF18894	Putative phage metallopeptidase	Pfam
vRhyme_unbinned_80__MGr3G3H3I_000000240298_11	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_12	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_13	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_14	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_15	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true	Erf-like ssDNA annealing protein													phrog_2324	Erf-like ssDNA annealing protein	phrog_2324	Erf-like ssDNA annealing protein	PHROG
vRhyme_unbinned_80__MGr3G3H3I_000000240298_16	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false	""													phrog_9210	""	phrog_9210	""	PHROG
vRhyme_unbinned_80__MGr3G3H3I_000000240298_17	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_18	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_19	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_2	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_3	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	false																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_4	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true	lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)					PF01464.26	Transglycosylase SLT domain	GH23	lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)							GH23	lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14)	dbCAN
vRhyme_unbinned_80__MGr3G3H3I_000000240298_6	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true	DNA helicase													phrog_16	DNA helicase	phrog_16	DNA helicase	PHROG
vRhyme_unbinned_80__MGr3G3H3I_000000240298_7	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_8	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_80__MGr3G3H3I_000000240298_9	vRhyme_unbinned_80__MGr3G3H3I_000000240298	vRhyme_unbinned_80__MGr3G3H3I_000000240298	unclassified	high	true																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_1	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_10	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_11	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_12	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_13	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_14	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_15	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_16	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_17	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_2	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_3	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_5	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_6	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_7	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_8	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_81__MGr3G3H3I_000000246984_9	vRhyme_unbinned_81__MGr3G3H3I_000000246984	vRhyme_unbinned_81__MGr3G3H3I_000000246984	unclassified	high	false																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_1	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	false	""													phrog_7314	""	phrog_7314	""	PHROG
vRhyme_unbinned_82__MGr3G3H3I_000000255661_10	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
vRhyme_unbinned_82__MGr3G3H3I_000000255661_11	vRhyme_unbinned_82__MGr3G3H3I_000000255661	vRhyme_unbinned_82__MGr3G3H3I_000000255661	unclassified	high	true																		
